city,Customer_Name,Customer_Segment,Discount,Number_of_Records,Order_Date,Order_ID,Order_Priority,Order_Quantity,Product_Base_Margin,Product_Category,Product_Container,Product_Sub_Category,Profit,Region,Row_ID,Sales,Ship_Date,Ship_Mode,Shipping_Cost,State,Unit_Price,Zip_Code
Baton Rouge,Andy Reiter,Corporate,0.04,1,2012-01-03,9637,Low,12,0.36,Office Supplies,Wrap Bag,Paper,32.44,South,1317,123.76,2012-01-07,Regular Air,2.27,Louisiana,10.14,70802
Baton Rouge,Andy Reiter,Corporate,0.05,1,2012-01-03,9637,Low,49,0.37,Technology,Large Box,Office Machines,14440.39,South,1316,28359.4,2012-01-10,Regular Air,24.49,Louisiana,574.74,70802
Bryan,Dave Hallsten,Home Office,0.06,1,2012-01-04,49730,High,3,0.61,Furniture,Jumbo Drum,Chairs and Chairmats,-394.69,Central,6953,1039.56,2012-01-05,Delivery Truck,30,Texas,350.98,77803
Pharr,Tamara Dahlen,Corporate,0.03,1,2012-01-04,8710,Critical,17,0.4,Office Supplies,Small Box,Binders and Binder Accessories,-76.02,Central,1193,63.34,2012-01-05,Regular Air,6.27,Texas,3.36,78577
Pharr,Tamara Dahlen,Corporate,0.07,1,2012-01-04,8710,Critical,42,0.35,Office Supplies,Wrap Bag,Paper,8.33,Central,1194,151.35,2012-01-06,Express Air,1.93,Texas,3.71,78577
Bedford,Darren Budd,Consumer,0.07,1,2012-01-05,57253,Critical,48,0.6,Furniture,Large Box,Office Furnishings,-335.24,Central,8013,12635.75,2012-01-05,Regular Air,35,Texas,279.48,76021
Bedford,Darren Budd,Consumer,0.04,1,2012-01-05,57253,Critical,25,0.55,Technology,Small Box,Telephones and Communication,667.45,Central,8015,2750.11,2012-01-05,Regular Air,5.26,Texas,125.99,76021
Dubuque,Marina Lichtenstein,Corporate,0.08,1,2012-01-05,32418,Not Specified,5,0.55,Furniture,Jumbo Drum,Chairs and Chairmats,-131.31,Central,4555,1244.19,2012-01-06,Delivery Truck,43.32,Iowa,243.98,52001
Bedford,Darren Budd,Consumer,0.08,1,2012-01-05,57253,Critical,49,0.7,Furniture,Jumbo Box,Tables,-139.16,Central,8014,240.3,2012-01-06,Regular Air,5.68,Texas,4.91,76021
Bedford,Darren Budd,Consumer,0.08,1,2012-01-05,57253,Critical,43,0.58,Furniture,Jumbo Drum,Chairs and Chairmats,1.74,Central,8011,78.08,2012-01-06,Regular Air,0.75,Texas,1.81,76021
Norman,Pauline Chand,Small Business,0.02,1,2012-01-05,28451,Critical,41,0.59,Furniture,Large Box,Office Furnishings,2593.14,Central,3982,8958.46,2012-01-06,Regular Air,21.21,Oklahoma,209.84,73071
Ormond Beach,Valerie Dominguez,Corporate,0.09,1,2012-01-05,25601,Medium,43,0.68,Office Supplies,Small Box,Storage and Organization,-131.08,South,3588,257.41,2012-01-06,Regular Air,4.69,Florida,5.98,32174
Deer Park,Dorris Love,Home Office,0.05,1,2012-01-05,290,Not Specified,24,0.36,Office Supplies,Wrap Bag,Paper,-32.48,East,47,188.73,2012-01-06,Regular Air,5.83,New York,7.64,11729
Fort Dodge,Matt Collins,Consumer,0.03,1,2012-01-05,1028,High,6,0.4,Technology,Small Pack,Computer Peripherals,-28.46,Central,164,165.75,2012-01-06,Regular Air,1.99,Iowa,28.48,50501
Bedford,Darren Budd,Consumer,0.06,1,2012-01-05,57253,Critical,29,0.64,Furniture,Jumbo Drum,Chairs and Chairmats,-1358.9,Central,8012,653.54,2012-01-07,Delivery Truck,53.03,Texas,20.98,76021
Norman,Pauline Chand,Small Business,0.01,1,2012-01-05,28451,Critical,21,0.59,Furniture,Large Box,Office Furnishings,1162.76,Central,3981,4201.08,2012-01-07,Regular Air,11.54,Oklahoma,194.3,73071
Monroe,Robert Waldorf,Home Office,0,1,2012-01-05,59232,High,23,0.4,Office Supplies,Small Box,Paper,245.97,South,8291,725.43,2012-01-07,Regular Air,5.76,Louisiana,30.98,71203
Mount Prospect,Susan Vittorini,Home Office,0.08,1,2012-01-05,52386,High,6,0.38,Technology,Jumbo Drum,Office Machines,-188.58,Central,7352,700.73,2012-01-07,Delivery Truck,26.3,Illinois,120.97,60056
Norman,Pauline Chand,Small Business,0,1,2012-01-05,28451,Critical,33,0.56,Technology,Jumbo Drum,Office Machines,1054.93,Central,3983,4913.7,2012-01-07,Delivery Truck,17.85,Oklahoma,145.45,73071
Fort Dodge,Matt Collins,Consumer,0.01,1,2012-01-05,1028,High,11,0.59,Technology,Small Box,Telephones and Communication,-60.39,Central,165,2021.15,2012-01-07,Regular Air,5.99,Iowa,205.99,50501
Bristol,Corey Roper,Small Business,0.02,1,2012-01-06,48226,Low,23,0.62,Furniture,Jumbo Box,Bookcases,-108.8,East,6773,2357.45,2012-01-06,Delivery Truck,35.84,Connecticut,100.98,6010
Galesburg,Julia West,Home Office,0.04,1,2012-01-06,23488,Critical,30,0.62,Furniture,Jumbo Box,Bookcases,-11053.6,Central,3284,26133.39,2012-01-07,Delivery Truck,44.55,Illinois,880.98,61401
Petersburg,Muhammed Yedwab,Consumer,0.03,1,2012-01-06,16770,Critical,17,0.57,Office Supplies,Wrap Bag,Pens and Art Supplies,0.61,South,2325,37.06,2012-01-07,Regular Air,0.7,Virginia,2.1,23805
Hilton Head Island,Craig Leslie,Consumer,0.03,1,2012-01-06,14274,Not Specified,2,0.55,Technology,Small Box,Telephones and Communication,-164.04,South,2003,61.72,2012-01-07,Regular Air,1.1,South Carolina,35.99,29915
Herndon,Tracy Collins,Consumer,0.06,1,2012-01-06,16961,Not Specified,27,0.51,Technology,Small Pack,Computer Peripherals,-37.08,South,2350,46.86,2012-01-07,Regular Air,1.99,Virginia,1.7,20170
Hilton Head Island,Craig Leslie,Consumer,0.01,1,2012-01-06,14274,Not Specified,23,0.74,Furniture,Jumbo Drum,Chairs and Chairmats,112.44,South,2001,3674.08,2012-01-08,Delivery Truck,30,South Carolina,150.98,29915
Royal Palm Beach,Victor Price,Consumer,0.05,1,2012-01-06,6854,Medium,19,0.37,Furniture,Small Pack,Office Furnishings,2.39,South,948,129.84,2012-01-08,Express Air,4.95,Florida,6.64,33411
Royal Palm Beach,Victor Price,Consumer,0.07,1,2012-01-06,6854,Medium,1,0.35,Office Supplies,Small Box,Binders and Binder Accessories,-2.39,South,947,22.13,2012-01-08,Express Air,6.16,Florida,7.68,33411
Hilton Head Island,Craig Leslie,Consumer,0.01,1,2012-01-06,14274,Not Specified,46,0.58,Office Supplies,Medium Box,Storage and Organization,-40.72,South,2002,1413.89,2012-01-08,Express Air,13.99,South Carolina,28.28,29915
Herndon,Tracy Collins,Consumer,0.01,1,2012-01-06,16961,Not Specified,34,0.4,Office Supplies,Small Box,Paper,433.24,South,2351,1089.59,2012-01-08,Regular Air,5.09,Virginia,30.98,20170
Fairfax,Maribeth Schnelling,Corporate,0.09,1,2012-01-06,41094,Low,46,0.37,Office Supplies,Small Box,Paper,-225.86,South,5794,298.97,2012-01-08,Regular Air,8.73,Virginia,6.48,20151
San Clemente,Julia Barnett,Home Office,0.03,1,2012-01-06,23488,High,29,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,-73.19,West,3283,101.77,2012-01-08,Regular Air,3.97,California,3.28,92672
Fairfax,Maribeth Schnelling,Corporate,0.05,1,2012-01-06,41094,Low,6,0.84,Office Supplies,Large Box,Storage and Organization,-153.46,South,5795,159.05,2012-01-10,Regular Air,35,Virginia,20.34,20151
Las Vegas,Chloris Kastensmidt,Consumer,0.08,1,2012-01-07,43909,High,46,0.37,Office Supplies,Small Box,Binders and Binder Accessories,-199.13,West,6199,737.25,2012-01-08,Regular Air,13.18,Nevada,15.99,89115
Franklin Square,Jasper Cacioppo,Home Office,0.05,1,2012-01-07,3073,Medium,3,0.4,Office Supplies,Small Box,Binders and Binder Accessories,-11.58,East,450,10.58,2012-01-08,Regular Air,4.77,New York,1.98,11010
Franklin Square,Jasper Cacioppo,Home Office,0.07,1,2012-01-07,3073,Medium,3,0.41,Technology,Large Box,Copiers and Fax,-2314.74,East,451,2119.67,2012-01-08,Express Air,24.49,New York,699.99,11010
Franklin Square,Jasper Cacioppo,Home Office,0.07,1,2012-01-07,3073,Medium,7,0.39,Technology,Large Box,Office Machines,102.61,East,452,45923.76,2012-01-08,Regular Air,24.49,New York,6783.02,11010
Norman,Pauline Chand,Small Business,0.07,1,2012-01-07,32295,High,11,0.58,Technology,Small Box,Telephones and Communication,-112.24,Central,4540,607.6,2012-01-08,Regular Air,5.99,Oklahoma,65.99,73071
Lubbock,George Ashbrook,Consumer,0.09,1,2012-01-07,18405,Medium,30,0.37,Office Supplies,Small Box,Binders and Binder Accessories,60.27,Central,2538,610.65,2012-01-09,Express Air,8.83,Texas,20.98,79424
Lubbock,George Ashbrook,Consumer,0.03,1,2012-01-07,18405,Medium,2,0.65,Technology,Small Box,Computer Peripherals,-263.09,Central,2539,158.04,2012-01-10,Regular Air,14.52,Texas,73.98,79424
Fresno,Benjamin Venier,Small Business,0.05,1,2012-01-07,33923,Low,34,0.58,Technology,Small Box,Telephones and Communication,425.75,West,4778,1961.79,2012-01-11,Regular Air,5.99,California,65.99,93727
Brunswick,Julie Kriz,Corporate,0.01,1,2012-01-07,40704,Low,6,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,-2.06,East,5733,11.57,2012-01-12,Regular Air,0.7,Maine,1.76,4011
Garfield Heights,Sandra Flanagan,Home Office,0.03,1,2012-01-08,4193,High,3,0.44,Furniture,Small Pack,Office Furnishings,64.25,East,612,75.77,2012-01-08,Regular Air,8.99,Ohio,22.72,44125
Garfield Heights,Sandra Flanagan,Home Office,0.07,1,2012-01-08,4193,High,16,0.39,Office Supplies,Small Box,Labels,14.42,East,611,64.29,2012-01-08,Regular Air,0.99,Ohio,4.13,44125
Myrtle Beach,Luke Schmidt,Home Office,0.07,1,2012-01-08,30083,Not Specified,23,0.58,Office Supplies,Small Box,Appliances,20.43,South,4234,324.28,2012-01-09,Regular Air,3.5,South Carolina,14.56,29577
Edmonds,Ruben Dartt,Corporate,0.03,1,2012-01-08,7203,High,25,0.38,Office Supplies,Small Box,Binders and Binder Accessories,9296.35,West,998,21752.01,2012-01-10,Regular Air,19.99,Washington,896.99,98026
Pasadena,Mark Haberlin,Small Business,0.05,1,2012-01-09,31715,Not Specified,44,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,-116.87,West,4451,145.19,2012-01-09,Regular Air,3.97,California,3.28,91104
Lawton,Joni Blumstein,Home Office,0.02,1,2012-01-09,18561,Not Specified,9,0.39,Office Supplies,Small Box,Labels,-38.9,Central,2571,45.87,2012-01-10,Regular Air,6.89,Oklahoma,4.13,73505
Pasadena,Mark Haberlin,Small Business,0.01,1,2012-01-09,31715,Not Specified,11,0.36,Office Supplies,Small Box,Binders and Binder Accessories,-53.85,West,4450,68.5,2012-01-10,Regular Air,7.57,California,5.38,91104
Gilroy,Cynthia Voltz,Corporate,0,1,2012-01-09,8576,High,43,0.59,Office Supplies,Small Pack,Pens and Art Supplies,-164.25,West,1173,541.45,2012-01-11,Express Air,8.99,California,11.66,95020
Plainfield,Yana Sorensen,Corporate,0.07,1,2012-01-09,58343,Not Specified,39,0.4,Office Supplies,Wrap Bag,Rubber Bands,11.32,East,8161,121.87,2012-01-11,Regular Air,1.35,New Jersey,3.29,7060
Augusta,Mark Haberlin,Small Business,0.09,1,2012-01-09,31715,Not Specified,24,0.59,Office Supplies,Wrap Bag,Pens and Art Supplies,-4.09,East,4449,64.11,2012-01-11,Regular Air,0.97,Maine,2.78,4330
Madison,Olvera Toch,Home Office,0.1,1,2012-01-09,40097,Low,47,0.58,Office Supplies,Wrap Bag,Pens and Art Supplies,-71,Central,5666,117.88,2012-01-14,Regular Air,2.4,Wisconsin,2.6,53711
King of Prussia,Benjamin Patterson,Corporate,0.04,1,2012-01-09,47138,Low,1,0.59,Technology,Small Box,Telephones and Communication,-506.31,East,6627,107.95,2012-01-16,Regular Air,8.99,Pennsylvania,125.99,19406
East Lansing,Kristina Nunn,Consumer,0.05,1,2012-01-10,55367,Critical,31,0.56,Furniture,Jumbo Box,Bookcases,-686.01,Central,7731,2137.1,2012-01-11,Delivery Truck,46.74,Michigan,70.98,48823
Denton,Darren Powers,Corporate,0.06,1,2012-01-10,14596,Critical,19,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,-53.75,Central,2046,63.14,2012-01-11,Regular Air,3.97,Texas,3.28,76201
Lehi,Ann Steele,Corporate,0.02,1,2012-01-10,44391,Not Specified,16,0.37,Office Supplies,Small Box,Paper,-85.23,West,6273,112.81,2012-01-11,Regular Air,9.17,Utah,6.48,84043
Pittsburgh,Rob Haberlin,Consumer,0,1,2012-01-10,33988,Medium,30,0.79,Technology,Small Pack,Computer Peripherals,-128.47,East,4787,164.78,2012-01-11,Regular Air,5.14,Pennsylvania,5.02,15122
Essex Junction,Giulietta Dortch,Corporate,0.02,1,2012-01-10,28999,High,34,0.45,Technology,Small Pack,Computer Peripherals,420.05,East,4073,1177.5,2012-01-11,Regular Air,1.99,Vermont,33.98,5451
Denton,Darren Powers,Corporate,0.01,1,2012-01-10,14596,Critical,24,0.43,Furniture,Wrap Bag,Office Furnishings,73.33,Central,2045,199.12,2012-01-12,Regular Air,0.96,Texas,8.34,76201
Hazelwood,Maria Bertelson,Home Office,0.01,1,2012-01-10,28290,Low,3,0.66,Office Supplies,Small Box,Storage and Organization,-179.36,Central,3965,523.58,2012-01-12,Express Air,19.99,MO,161.55,63042
East Lansing,Kristina Nunn,Consumer,0.05,1,2012-01-10,55367,Critical,48,0.55,Office Supplies,Wrap Bag,Pens and Art Supplies,129.87,Central,7732,571.17,2012-01-12,Regular Air,2.36,Michigan,11.55,48823
Minnetonka,Sean Wendt,Corporate,0.09,1,2012-01-10,31553,Critical,32,0.39,Office Supplies,Small Box,Envelopes,1907.94,Central,4425,4906.85,2012-01-12,Regular Air,19.99,Minnesota,162.93,55345
Hazelwood,Maria Bertelson,Home Office,0.05,1,2012-01-10,28290,Low,43,0.74,Technology,Small Box,Computer Peripherals,-154.24,Central,3964,1307.35,2012-01-14,Express Air,8.65,MO,30.42,63042
Pleasure Ridge Park,Michelle Moray,Corporate,0.02,1,2012-01-10,20037,Low,35,0.42,Furniture,Small Box,Office Furnishings,339.58,South,2775,1009.42,2012-01-15,Regular Air,8.55,Kentucky,29.18,40258
Pleasure Ridge Park,Michelle Moray,Corporate,0.03,1,2012-01-10,20037,Low,49,0.57,Technology,Jumbo Drum,Office Machines,4913.16,South,2776,15137.11,2012-01-15,Delivery Truck,14.7,Kentucky,297.64,40258
Trenton,Bradley Drucker,Small Business,0.03,1,2012-01-11,33797,Not Specified,18,0.36,Office Supplies,Small Box,Paper,30.53,East,4758,216.87,2012-01-11,Regular Air,5.01,New Jersey,11.34,8601
Bellingham,Bradley Drucker,Small Business,0.08,1,2012-01-11,33797,Not Specified,20,0.57,Technology,Jumbo Drum,Office Machines,653.68,East,4754,4531.34,2012-01-11,Delivery Truck,14.7,MA,297.64,2019
Beverly,Bradley Drucker,Small Business,0.02,1,2012-01-11,33797,Not Specified,44,0.73,Furniture,Large Box,Office Furnishings,-449.04,East,4755,574.5,2012-01-12,Regular Air,14.37,MA,12.99,1915
Hanson,Bradley Drucker,Small Business,0.06,1,2012-01-11,33797,Not Specified,18,0.52,Office Supplies,Medium Box,Appliances,-22.37,East,4756,262.94,2012-01-12,Regular Air,6.75,MA,14.42,2341
Springfield,Alan Barnes,Corporate,0.06,1,2012-01-11,19655,High,31,0.51,Technology,Small Pack,Computer Peripherals,304.42,Central,2726,1143.45,2012-01-12,Regular Air,1.99,Illinois,39.24,62701
Hawthorne,Bradley Drucker,Small Business,0.05,1,2012-01-11,33797,Not Specified,29,0.49,Furniture,Small Box,Office Furnishings,-103.78,East,4757,138.17,2012-01-13,Express Air,6.6,New Jersey,4.14,7506
Lebanon,Andy Gerbode,Consumer,0.08,1,2012-01-11,21830,Low,19,0.56,Technology,Jumbo Box,Office Machines,906.8,South,3040,6991.65,2012-01-18,Delivery Truck,12.06,Tennessee,399.98,37087
Florence,Cindy Schnelling,Corporate,0.09,1,2012-01-12,20549,Not Specified,40,0.67,Office Supplies,Small Box,Storage and Organization,-568.71,South,2855,1030.09,2012-01-13,Regular Air,19.99,Kentucky,27.75,41042
Englewood,Greg Matthias,Home Office,0.05,1,2012-01-12,7461,Low,12,0.55,Furniture,Jumbo Drum,Chairs and Chairmats,593.79,West,1024,4080.3,2012-01-14,Delivery Truck,39,Colorado,350.99,80112
Gaithersburg,Rick Reed,Consumer,0.04,1,2012-01-12,43362,Critical,33,0.35,Office Supplies,Wrap Bag,Pens and Art Supplies,2.72,East,6123,58.48,2012-01-14,Regular Air,1,Maryland,1.68,20877
Fort Thomas,Liz Price,Consumer,0.1,1,2012-01-12,27813,Medium,10,0.74,Technology,Small Box,Computer Peripherals,-131.03,South,3901,401.14,2012-01-14,Regular Air,6.5,Kentucky,40.98,41075
Gaithersburg,Rick Reed,Consumer,0.03,1,2012-01-12,43362,Critical,45,0.61,Furniture,Jumbo Drum,Chairs and Chairmats,4276.73,East,6122,15963.09,2012-01-15,Delivery Truck,30,Maryland,350.98,20877
Springfield,Guy Thornton,Corporate,0.01,1,2012-01-12,37862,Not Specified,27,0.57,Office Supplies,Small Box,Appliances,452.49,Central,5327,1603.27,2012-01-15,Regular Air,3.99,MO,59.98,65807
Englewood,Greg Matthias,Home Office,0,1,2012-01-12,7461,Low,28,0.38,Office Supplies,Small Box,Envelopes,111.4,West,1025,260.79,2012-01-16,Regular Air,1.39,Colorado,8.74,80112
Englewood,Greg Matthias,Home Office,0.02,1,2012-01-12,7461,Low,44,0.83,Office Supplies,Wrap Bag,Rubber Bands,-16.72,West,1026,90.35,2012-01-16,Regular Air,0.7,Colorado,1.98,80112
College Park,Michelle Huthwaite,Home Office,0.06,1,2012-01-13,51623,Critical,17,0.43,Furniture,Small Box,Office Furnishings,-66.58,East,7241,39.23,2012-01-13,Regular Air,5.33,Maryland,2.08,20740
Manteca,Brian Stugart,Corporate,0.02,1,2012-01-13,13602,Low,13,0.37,Office Supplies,Small Box,Paper,267.67,West,1895,660.99,2012-01-13,Regular Air,5.09,California,48.04,95336
Pembroke Pines,Mike Gockenbach,Consumer,0.07,1,2012-01-13,25541,Low,50,0.36,Office Supplies,Small Box,Paper,-111.34,South,3582,297.76,2012-01-15,Regular Air,5.79,Florida,5.98,33024
Manteca,Brian Stugart,Corporate,0.03,1,2012-01-13,13602,Low,3,0.56,Technology,Jumbo Drum,Office Machines,-377.9,West,1894,445.34,2012-01-18,Delivery Truck,17.85,California,145.45,95336
Post Falls,Tamara Manning,Corporate,0.06,1,2012-01-14,43911,Medium,29,0.6,Furniture,Large Box,Office Furnishings,-53.89,West,6200,577.89,2012-01-14,Regular Air,11.17,Idaho,19.99,83854
Germantown,Toby Swindell,Small Business,0.1,1,2012-01-14,30567,Not Specified,14,0.58,Office Supplies,Jumbo Drum,Appliances,-368.02,South,4291,2690.84,2012-01-14,Delivery Truck,68.02,Tennessee,208.16,38138
Allentown,Clytie Kelty,Small Business,0.02,1,2012-01-14,34691,Critical,23,0.56,Technology,Jumbo Drum,Office Machines,1425.11,East,4876,7202.94,2012-01-14,Delivery Truck,26.53,Pennsylvania,306.14,18103
Hendersonville,Toby Swindell,Small Business,0.07,1,2012-01-14,30567,Not Specified,8,0.4,Office Supplies,Small Box,Envelopes,103.13,South,4292,733.55,2012-01-15,Regular Air,19.99,Tennessee,90.48,37075
Hendersonville,Toby Swindell,Small Business,0.02,1,2012-01-14,30567,Not Specified,14,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,7.32,South,4294,62.6,2012-01-15,Regular Air,0.94,Tennessee,4.28,37075
Post Falls,Tamara Manning,Corporate,0,1,2012-01-14,43911,Medium,36,0.58,Technology,Jumbo Drum,Office Machines,2685.19,West,6201,9920.85,2012-01-15,Delivery Truck,17.86,Idaho,264.98,83854
Rexburg,Tamara Manning,Corporate,0.06,1,2012-01-14,43911,Medium,23,0.57,Furniture,Jumbo Drum,Chairs and Chairmats,1278.45,West,6202,7484.31,2012-01-16,Delivery Truck,58.95,Idaho,320.98,83440
Hendersonville,Toby Swindell,Small Business,0.01,1,2012-01-14,30567,Not Specified,3,0.45,Furniture,Small Pack,Office Furnishings,23,South,4293,38.71,2012-01-16,Express Air,7.29,Tennessee,9.48,37075
Allentown,Clytie Kelty,Small Business,0.1,1,2012-01-14,34691,Critical,13,0.37,Office Supplies,Small Box,Paper,-7.39,East,4877,245.82,2012-01-16,Express Air,9.54,Pennsylvania,18.97,18103
Allentown,Clytie Kelty,Small Business,0.08,1,2012-01-14,34691,Critical,27,0.58,Office Supplies,Small Box,Appliances,-168.75,East,4875,217.68,2012-01-16,Regular Air,9.23,Pennsylvania,7.77,18103
Salinas,Jennifer Patt,Home Office,0.08,1,2012-01-14,8325,Critical,21,0.4,Technology,Jumbo Drum,Office Machines,-220.05,West,1144,2364.29,2012-01-16,Delivery Truck,56.14,California,115.99,93905
Salinas,Jennifer Patt,Home Office,0.08,1,2012-01-14,8325,Critical,27,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,13.92,West,1145,112.57,2012-01-17,Regular Air,0.94,California,4.28,93905
Battle Creek,Giulietta Weimer,Corporate,0,1,2012-01-15,37729,Not Specified,48,0.38,Office Supplies,Small Box,Binders and Binder Accessories,-26.78,Central,5297,447.89,2012-01-15,Regular Air,6.19,Michigan,8.6,49017
Hattiesburg,Jennifer Jackson,Home Office,0.08,1,2012-01-15,12676,High,25,0.49,Furniture,Small Box,Office Furnishings,-80.86,South,1769,201.06,2012-01-16,Express Air,7.96,Mississippi,8.09,39401
Knoxville,Amy Hunt,Consumer,0.09,1,2012-01-15,22243,Critical,9,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,-1.82,South,3103,24.76,2012-01-16,Regular Air,0.7,Tennessee,2.88,37918
West Mifflin,Amy Cox,Small Business,0.06,1,2012-01-15,48773,Medium,7,0.38,Office Supplies,Wrap Bag,Paper,3.27,East,6849,51.27,2012-01-17,Regular Air,2.17,Pennsylvania,7.04,15122
Lombard,Skye Norling,Home Office,0.01,1,2012-01-15,6884,Low,41,0.36,Office Supplies,Small Box,Paper,-61.21,Central,950,217,2012-01-20,Regular Air,4.75,Illinois,4.98,60148
Lombard,Skye Norling,Home Office,0.04,1,2012-01-15,6884,Low,47,0.39,Office Supplies,Wrap Bag,Paper,119.09,Central,951,296.13,2012-01-20,Regular Air,1.02,Illinois,6.35,60148
Boardman,Xylona Price,Corporate,0.04,1,2012-01-16,30915,Low,20,0.57,Office Supplies,Wrap Bag,Pens and Art Supplies,-17.75,East,4341,62.78,2012-01-16,Express Air,2.03,Ohio,2.98,44512
Naperville,Sylvia Foulston,Corporate,0.1,1,2012-01-16,31781,Medium,46,0.39,Office Supplies,Small Box,Binders and Binder Accessories,-282.61,Central,4459,249.02,2012-01-17,Regular Air,8.49,Illinois,5.81,60540
Naperville,Sylvia Foulston,Corporate,0.03,1,2012-01-16,31781,Medium,41,0.52,Office Supplies,Wrap Bag,Rubber Bands,5.53,Central,4460,78.49,2012-01-17,Regular Air,0.75,Illinois,1.81,60540
Hot Springs,Joe Elijah,Home Office,0,1,2012-01-16,49541,Medium,35,0.57,Office Supplies,Small Box,Storage and Organization,16.46,South,6941,503.75,2012-01-17,Regular Air,5.5,Arkansas,13.43,71901
Woodmere,Jason Klamczynski,Small Business,0.05,1,2012-01-16,39173,Critical,2,0.76,Furniture,Jumbo Box,Tables,-433.29,East,5534,373.27,2012-01-18,Delivery Truck,29.21,New York,179.29,11598
Laurel,Sanjit Jacobs,Consumer,0.02,1,2012-01-16,2370,Critical,6,0.69,Furniture,Medium Box,Office Furnishings,-85.76,East,345,679.6,2012-01-18,Regular Air,13.99,Maryland,110.98,20707
Laurel,Sanjit Jacobs,Consumer,0.01,1,2012-01-16,2370,Critical,30,0.4,Office Supplies,Wrap Bag,Paper,59.18,East,346,257.42,2012-01-18,Regular Air,2.87,Maryland,8.01,20707
